month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)_去季节性
2002-12,,,,0.7296470721003617,,0.7111581400384236,1.2537679403202653,-1.6717302426169816,-0.3402187347191077,,-0.456310139623592,-0.37237703538183414
2003-01,3.1584933793369054,,,0.7296470721003617,,0.734190871650614,0.12297511485442493,-1.5854461574299406,-0.15816696061563043,,0.4897569561405027,-0.3102201949801961
2003-02,,,,1.9525978286801062,,0.9184527245481384,,-0.8951734759336128,0.2969624746430627,,0.4897569561405027,-0.3905556056486687
2003-03,,,,3.040874364012471,,0.5729617503652804,1.143651347905587,-1.0677416463076947,0.6610660228500171,,0.4897569561405027,0.1711770717482003
2003-04,4.921373405013319,,,0.7296470721003617,,0.7572236032628049,1.1175540378350233,-0.46375304999840783,0.797604853427625,,0.4897569561405027,-0.5673632605905802
2003-05,,,,0.7296470721003617,,0.38869989746775624,1.5474340480529625,-0.3774689648113669,0.5700401357982786,,0.4897569561405027,-0.8191092471541956
2003-06,,,,0.7296470721003617,,-0.394412977346722,1.0948849005596475,-0.6363212203724898,0.20593658759132408,,0.4897569561405027,-0.7340470177335257
2003-07,3.1584933793369054,,,0.7296470721003617,,0.5268962871408995,0.8686152724549219,-0.9814575611206536,0.0466412852507815,,0.4897569561405027,-0.4452209370240187
2003-08,,,,0.7296470721003617,,0.8723872613237575,3.074649058909062,-0.8088893907465717,0.06939775701371612,,0.4897569561405027,-0.3692132298556894
2003-09,,,,0.7296470721003617,,0.895419992935948,0.955103169079881,-0.46375304999840783,0.06939775701371612,,1.206474452931484,-0.3329904214760893
2003-10,3.9517893908912916,,,0.7296470721003617,,0.8032890664871858,0.5862750721352653,-0.2911848796243258,0.06939775701371612,,1.206474452931484,0.4876212574084548
2003-11,,,,0.7296470721003617,,0.9645181877725194,1.865942239714128,0.312803716684961,0.023884813487846816,,1.206474452931484,1.3143669233004085
2003-12,,,,0.7296470721003617,,0.8493545297115667,1.6264250376076699,1.3482127389294527,0.1831801158283894,,1.206474452931484,1.0856543177322884
2004-01,3.9517893908912916,,,0.7296470721003617,,1.1257473090578534,0.741224565040101,1.520780909303535,0.43350130522067065,,4.664206344449894,-0.4794876396967294
2004-02,,,,0.2984174949749113,,1.3330418935675683,,1.520780909303535,0.5472836640353439,,4.664206344449894,-0.4938584710661967
2004-03,,,,3.7809024080384788,,0.734190871650614,2.452836001066215,0.571655972246084,0.5472836640353439,,1.206474452931484,0.7339021802646652
2004-04,4.392509397310395,,,0.7296470721003617,,1.1718127722822342,1.5794899494343162,1.3482127389294527,0.6610660228500171,,1.206474452931484,-0.8369946780329854
2004-05,,,,0.7296470721003617,,1.6555001361382353,2.10548302388784,2.0384854204257805,0.8886307404793637,,1.206474452931484,-0.9475553778944779
2004-06,,,,0.7296470721003617,,1.9451943179905657,0.8961148618288073,2.5561899315480265,1.0479260428199064,,1.206474452931484,-0.13645582302392098
2004-07,5.273949410148601,,,0.7296470721003617,,1.8167292574235694,1.0850646392917822,2.6424740167350675,1.207221345160449,,1.206474452931484,-0.05855555668611879
2004-08,,,,0.7296470721003617,,1.6555001361382353,3.3350895407366115,2.6424740167350675,1.207221345160449,,1.206474452931484,-0.12271339166204534
