month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零_去季节性,CPI,PPI,失业率差分,逆回购7天(19日),银行间7天回购(20-19均值)
2010-04,4.065790351360642,4.033320437921225,,2.1068235380177223,1.6712007619268594,1.5722773670013344,-0.07822649085906647,1.477732254772578,,1.0947709791279685,-1.8427220945273723
2010-05,,5.632252959737256,,2.1068235380177223,1.6712007619268594,1.845943250760518,0.2380681745487116,1.7083876458732317,,1.0947709791279685,-1.8427220945273723
2010-06,,3.8737514382230573,,2.1068235380177223,1.6712007619268594,1.7578198586357139,0.47528917360454537,1.7903984515979088,,1.0947709791279685,-0.9745467338762036
2010-07,2.8913529733885164,1.7038842296420098,,1.7746333768036038,1.6712007619268594,1.5884960582546916,0.31714184090065617,1.6058741387173856,,1.0947709791279685,-0.8880900260454032
2010-08,,0.5356259854973927,,1.684282471668305,1.6712007619268594,1.692401593938291,0.6334365063084343,1.2035086231306895,,1.0947709791279685,-1.8032790976336879
2010-09,,1.1495187320136895,,1.8348673135604703,1.6712007619268594,1.6712011984838953,0.7915838390123234,1.0702410638280895,,1.0947709791279685,-1.1998734815290533
2010-10,2.264986371803384,3.2438511296425117,,1.6541655032898719,0.5349014027463482,1.6862098661916545,0.870657505364268,1.0728039015069857,,1.0947709791279685,-1.016818410224997
2010-11,,4.625808762306516,,1.5939315665330054,0.4901249136996039,1.7559194042239772,1.5032468361798246,1.2547653767086124,,1.0947709791279685,-1.6539373490703961
2010-12,,4.974709532413922,,1.6541655032898719,-0.457574807509145,1.6708974278851105,2.0567625006434356,1.51617481995602,,1.0947709791279685,-0.39241313262545635
2011-01,2.264986371803384,3.649791311882905,,1.7143994400467377,,1.8210825496026695,1.661394168883713,1.4828579301303701,,1.0947709791279685,0.9724383486002051
2011-02,,2.645024550171454,,1.6541655032898719,,2.8828353159849227,1.898615167939547,1.6545680546164125,,1.0947709791279685,2.0525933583864044
2011-03,,1.893274089735229,,2.1360369973448012,2.078624167976954,0.5469914009464564,1.9334075811344025,1.8160268283868704,,1.0947709791279685,-0.4313001860982466
2011-04,2.421578022199667,2.014659456328565,,2.105920028966368,1.5647606508214624,1.4475821135337201,2.280540976419439,1.8365295298180395,,1.0947709791279685,-0.952782286151193
2011-05,,2.4903681634840957,,1.684282471668305,1.0999380502409761,1.540325350570963,2.249702246542181,1.710950483552128,,1.0947709791279685,0.17198891509930656
2011-06,,1.7417581836227034,,1.6541655032898719,1.0061206446192263,1.3681434500333085,2.3849182160040057,1.7032619705154395,,1.0947709791279685,1.6533296863847038
2011-07,2.264986371803384,0.35736217410493987,,2.1068235380177223,1.4773398864921048,1.4525117360877733,3.04913701336034,1.7878356139190126,,1.0947709791279685,2.7068279047119983
2011-08,,-0.025424870976385138,,1.8649842819389033,1.2236064485605551,1.5265385772775117,3.0498961205573187,1.895474796432651,,1.0947709791279685,1.204192794331638
