month,GDP同比,制造业PMI一阶差分_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2017-09,,0.36807140931322324,0.16190056818617618,0.05897677552229076,0.10721355603217225,0.7672887187032778,-0.12807213052175428,0.21134630360802148,1.168856423412463,,0.42002574400969694,1.8449983739607647
2017-10,0.947259273990688,0.7776558447803782,1.0529828137770358,0.22206715716675682,0.27974791240939756,0.8122830539711983,0.14334640974455656,0.02243710028359801,1.297208168728443,,0.42002574400969694,1.5628834611694964
2017-11,,-0.7302980304014525,0.607441690981606,0.11334023607044619,-0.2219102834779227,0.7447915510693177,0.4965767167012959,0.3058009052702331,1.297208168728443,,0.42002574400969694,1.4969781362826666
2017-12,,-0.030515595192584764,0.656946260181099,0.08615850579636836,-0.29386293690943455,0.7897858863372379,0.39347709027883815,0.11689170194580964,1.0618966356491464,,0.5451140680310486,1.712934775952924
2018-01,0.8621123729578168,0.1756002097346972,0.5579371217821131,0.11334023607044619,0.3179628144639704,0.609808545265557,0.11696807285262956,0.21134630360802148,0.8693690176751765,,0.5451140680310486,2.223372399740587
2018-02,,-0.8516268766188545,1.0529828137770358,2.623437390047453,,,,-0.07201750137861383,0.7410172723591965,,0.5451140680310486,1.0438096605041525
2018-03,,-1.5507862741258265,0.7559553985800814,-2.1481479201083973,-0.8796520038782292,0.6773000481674372,-1.0802275674953317,1.2503469218923506,0.6126655270432166,-0.525271426087762,0.5451140680310486,1.1438722010536353
2018-04,0.947259273990688,1.2715447935146997,0.656946260181099,0.05897677552229076,-0.5185733788724348,0.7672887187032778,0.775654991221343,0.4947101085946568,0.48431378172723666,1.0726460717636292,0.6702023920524002,1.3435294924293244
2018-05,,0.9399862642211654,0.7559553985800814,0.33079407826306767,0.4188854115152794,0.609808545265557,0.3820971367077959,0.21134630360802148,0.5484896543852266,-0.7940824553719541,0.6702023920524002,1.790468571938275
2018-06,,1.0880672723894376,0.8549645369790675,0.27643061771491223,1.221780739167915,0.40733403655991557,0.3603225208207478,0.21134630360802148,0.6982333572538698,-0.8549541757120425,0.6702023920524002,1.268615914533841
2018-07,0.947259273990688,-0.6115613322888884,0.8549645369790675,0.05897677552229076,0.45476900157796707,0.5198198747297162,0.7946960270665829,0.3058009052702331,0.8265851025698498,0.05755599471129029,0.6702023920524002,1.0204423264560847
2018-08,,-0.17964206630120058,0.3599188449841446,0.05897677552229076,0.19461297362348173,0.4748255394617962,0.5064862972488491,0.4947101085946568,0.8051931450171864,1.6622538062106118,0.6702023920524002,0.10016780806777746
2018-09,,0.03982929208849228,0.5579371217821131,0.08615850579636836,0.6431578494070771,0.5198198747297162,-0.2033013577157992,0.6836193119190801,0.6982333572538698,-0.11059957035165316,0.6702023920524002,0.28758577169037586
