month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2003-09,,,,1.2071696655287816,,0.0667923515952086,0.8817307326990318,-1.3479457235533914,0.23549295512574314,,0.1411744760636969,-0.441491388428546
2003-10,3.219315023340341,,,1.2071696655287816,,-0.03126591845538542,0.4299659024259989,-1.1165659997741912,0.23549295512574314,,-0.34745008481089645,0.11513009158382155
2003-11,,,,1.2071696655287816,,0.1403360541331538,1.6562714797629516,-0.306736966546992,0.18981960960172928,,1.345384361779207,-0.05825584389584111
2003-12,,,,1.2071696655287816,,0.017763216569911377,1.5810050179069457,1.0815413761282069,0.3496763189357779,,1.345384361779207,-1.105865025515783
2004-01,3.219315023340341,,,1.2071696655287816,,0.31193802672169346,0.39584457136344936,1.312921099907407,0.6008797193178543,,1.345384361779207,-0.9945765926872266
2004-02,,,,0.04207804781764828,,0.5325691343355299,,1.312921099907407,0.715063083127889,,1.345384361779207,-0.5937013707511107
2004-03,,,,5.840356705166976,,-0.10480962099333105,4.345606313005314,0.040332619121807814,0.715063083127889,,1.345384361779207,-1.3415765269738635
2004-04,3.694969358555167,,,1.2071696655287816,,0.36096716174699023,0.7837072313857946,1.0815413761282069,0.8292464469379238,,1.345384361779207,-1.4414651007862789
2004-05,,,,1.2071696655287816,,0.8757730795126083,2.0738971372274455,2.007060271245006,1.0576131745579933,,1.345384361779207,-0.9514943564669871
2004-06,,,,1.2071696655287816,,1.3721930716437434,0.4487777630395887,2.701199442582606,1.2174698838920421,,1.345384361779207,-0.9286717554098064
2004-07,4.646278028984818,,,1.2071696655287816,,1.047375052101148,0.6841484061161967,2.816889304472206,1.3773265932260907,,1.345384361779207,-0.8620926070600151
2004-08,,,,1.2071696655287816,,0.8757730795126083,3.411950507276328,2.816889304472206,1.3773265932260907,,1.345384361779207,-0.8875750601827141
2004-09,,,,1.2071696655287816,,0.8512585119999599,1.3005069033245515,2.816889304472206,1.4686732842741184,,1.345384361779207,-1.1120535080847336
2004-10,2.933922422211447,,,1.2071696655287816,,1.0718896196137964,1.078364582281746,2.816889304472206,1.7198766846561948,,1.345384361779207,-1.0942863635089126
2004-11,,,,1.2071696655287816,,1.120918754639093,2.2129498795952474,2.5855095806930057,1.8340600484662295,,1.345384361779207,-1.1895221338821662
