month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)
2017-08,,0.2509339399825409,-0.23219054780847184,-0.8117208322297076,0.451094851548441,-1.0715004878027532,-2.2456529916546235,-0.5900871877502502,0.9462750362540918,-1.472514503791479,0.40426458353950945
2017-09,,0.17492736416878465,-0.713941830520383,-0.9012062009082649,-0.12036124115107832,-1.1503399557287148,-0.7303154758426321,-0.39671434915832476,1.1053195957056527,-1.472514503791479,0.4749758710206505
2017-10,-0.8702718905200817,0.21319346086529398,1.0203627872424943,-0.7669781478904291,0.005020729094480405,-1.0977803104447401,-0.6528865815397179,-0.4934007684542874,1.2246030152943235,-1.472514503791479,0.325568098160132
2017-11,,0.34233596260774746,0.15321047836105564,-0.8564635165689862,-0.35953792641563675,-1.176619778370702,-1.482349564126473,-0.3483711395103435,1.2246030152943235,-1.472514503791479,0.29066470466857425
2017-12,,0.40568519453613305,0.24956073490343925,-0.8788348587386257,-0.41182644240206595,-1.1240601330867277,-1.067440248719955,-0.4450575588063061,1.005916746048427,-1.3940272799576374,0.4050351229082062
2018-01,-0.9321029306991286,0.16644662587944623,0.05686022181867206,-0.8564635165689862,0.03279177604971671,-1.1781965677292212,-1.1008299354067244,-0.39671434915832476,0.8269916166654213,-1.3940272799576374,0.675362372892172
2018-02,,0.014539598582613613,1.0203627872424943,1.209418299799778,,,,-0.5417439781022688,0.7077081970767506,-1.3940272799576374,0.05066713762482602
2018-03,,-0.3510225474123596,0.44226124798819955,-2.7177330106126387,-0.837523613139883,-1.2554592462966638,-1.9083126171273437,0.13506095696946996,0.58842477748808,-1.3940272799576374,0.10366015803039698
2018-04,-0.8702718905200817,-0.5895909528191315,0.24956073490343925,-0.9012062009082649,-0.5751251531033181,-1.1503399557287148,0.41842882472016735,-0.2516847202143807,0.46914135789940936,-1.3155400561237955,0.20939845787658848
2018-05,,-0.04458147680426338,0.44226124798819955,-0.6774927792118717,0.10613296053198637,-1.1781965677292212,-1.6750479426260028,-0.39671434915832476,0.5287830676937446,-1.3155400561237955,0.4460969429480564
2018-06,,0.6141567019098191,0.6349617610729668,-0.7222354635511504,0.6896028281909314,-1.1781965677292212,-0.7051522087568716,-0.39671434915832476,0.6679470572138604,-1.3155400561237955,0.16972430269054775
2018-07,-0.8702718905200817,0.2645102508591059,0.6349617610729668,-0.9012062009082649,0.13220982612568224,-1.1781965677292212,0.004614355010513304,-0.3483711395103435,0.7872304768025311,-1.3155400561237955,0.03829182111544079
2018-08,,0.16769358673298518,-0.3285408043508554,-0.9012062009082649,-0.0568474494286128,-1.1781965677292212,-2.6164058352963546,-0.2516847202143807,0.7673499068710858,-1.3155400561237955,-0.44908463428808526
