month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2014-02,,50.20640139233973,53.8,8.8,13.736301,11.8246,-12.639185952772072,1.9511,-2.0,,4.1,4.947696774193548
2014-03,7.6,49.29053092139246,52.8,8.8,7.2,12.2404,5.010047963028406,2.3848,-2.3019,,4.1,2.9737928571428576
2014-04,,50.30017946481761,53.4,8.7,4.61,11.93653,8.21144565630699,1.8014,-2.0042,,4.1,3.6074483870967744
2014-05,,50.78142894973621,54.4,8.8,5.3,12.514318,6.172550621777965,2.4773,-1.4464,,4.1,3.3648000000000002
2014-06,7.7,50.825046393461996,53.5,9.2,5.86,12.42793,8.665986777557336,2.3361,-1.1092,,4.1,3.197306451612903
2014-07,,51.49372759592806,53.2,9.0,2.98,12.22174,9.418733823045566,2.2852,-0.8688,,4.1,3.6874566666666673
2014-08,,50.96538857037026,53.6,6.9,-1.49,11.901354,-9.93497076736767,1.9909,-1.2038,,4.1,3.721674193548387
2014-09,7.3,50.76933494385427,52.5,8.0,2.73,11.567603,-2.291340864353849,1.6275,-1.7996,,4.1,3.378806451612903
2014-10,,50.69642512021277,52.6,7.7,3.052641,11.520769,-1.3847010532575514,1.6011,-2.2428,,4.1,3.064403333333334
2014-11,,49.82739172172068,52.6,7.2,3.282558,11.720801,-0.34892715929120843,1.4393,-2.6928,,4.1,3.139099999999999
2014-12,7.4,50.009911099995534,53.3,7.9,4.153247,11.889118,8.189464349713994,1.5056,-3.3152,,4.1,3.7007100000000004
2015-01,,49.8,52.9,9.6,,,,0.7638,-4.3202,,4.1,4.546899999999999
2015-02,,49.906401392339724,53.2,3.6,-6.3,10.7142,-14.89356610514661,1.4311,-4.7976,,3.85,4.3852548387096775
2015-03,7.1,49.090530921392464,52.3,5.6,-2.177386,10.244532,-1.033752796247562,1.3758,-4.5603,,3.65,4.772775
2015-04,,50.00017946481761,52.4,5.9,1.287186,10.002445,0.29642352885216283,1.5091,-4.5725,,3.35,3.5274
2015-05,,50.181428949736215,52.0,6.1,1.578521,10.130209,-1.9107971228225225,1.2308,-4.607,,3.35,2.3374166666666674
2015-06,7.1,50.025046393462,52.3,6.8,1.760122,10.631952,1.899509541208701,1.3909,-4.8135,,3.35,2.1223
2015-07,,49.793727595928054,52.8,6.0,-1.317016,10.512323,3.1049999619596047,1.6473,-5.3692,,2.5,2.7596233333333324
2015-08,,49.56538857037026,52.6,6.1,1.903499,10.792317,-16.405866620389702,1.9554,-5.9227,,2.5,2.4700935483870965
2015-09,7.0,49.469334943854264,53.0,5.7,-0.15279,10.9,-9.56680583668983,1.5956,-5.922923,,2.35,2.4493419354838704
2015-10,,49.69642512021277,52.3,5.6,-0.242482,11.023401,-3.4071118523160915,1.2674,-5.9,,2.35,2.4100099999999998
2015-11,,49.127391721720684,52.8,6.2,0.581849,11.172228,-3.2470012193897477,1.4856,-5.9,,2.25,2.378858064516129
2015-12,6.9,49.609911099995536,53.7,5.9,-2.153065,11.1,0.7598574588179936,1.6,-5.9,,2.25,2.403823333333333
2016-01,,49.4,52.7,5.865724,,,,1.8,-5.3,,2.25,2.4532709677419353
2016-02,,49.006401392339725,52.2,4.906937,4.020384,10.2,-16.478078143509855,2.3,-4.9,,2.25,2.4278580645161294
2016-03,6.8,49.190530921392465,53.1,6.8,5.640467,10.5,-4.396106613803191,2.301391,-4.3,,2.25,2.399079310344828
2016-04,,50.00017946481761,52.5,6.0,1.885077,10.1,-2.7124554054188383,2.327865,-3.4,,2.25,2.4769064516129036
2016-05,,50.081428949736214,52.0,6.0,2.053089,10.0,-4.493926734038595,2.038999,-2.8,,2.25,2.5032799999999993
2016-06,6.7,49.825046393461996,52.2,6.2,2.640878,10.6,-1.486331123544602,1.879503,-2.6,,2.25,2.401606451612903
2016-07,,49.69372759592805,52.6,6.0,8.168144,10.2,-2.8778273981431823,1.765113,-1.7,,2.25,2.4618399999999996
2016-08,,50.265388570370256,52.7,6.3,8.279983,10.6,-18.06571434788231,1.339773,-0.8,,2.25,2.490638709677419
2016-09,6.7,50.069334943854265,52.3,6.1,6.871408,10.7,-9.655692189533077,1.920226,0.1,,2.25,2.481170967741935
2016-10,,51.09642512021278,52.6,6.1,6.986335,10.0,-1.5805266713715511,2.095947,1.2,,2.25,2.529173333333333
2016-11,,51.227391721720686,53.7,6.2,6.966866,10.8,-3.791580314913898,2.252258,3.3,,2.25,2.7168999999999994
2016-12,6.8,51.30991109999553,53.2,6.0,6.879046,10.9,-3.926054652681259,2.076545,5.5,,2.25,2.9143533333333336
2017-01,,51.3,53.5,2.93725,,,,2.549055,6.9,,2.25,2.778103225806452
2017-02,,51.60640139233973,53.2,10.322581,17.212391,9.5,-15.043605485561583,0.8,7.8,,2.35,2.759290322580645
2017-03,7.0,50.79053092139246,54.2,7.6,7.892457,10.9,-5.274962267132437,0.9,7.6,,2.45,3.164078571428572
2017-04,,51.100179464817614,52.6,6.5,6.023428,10.7,-5.670609883566708,1.2,6.4,,2.45,3.2884774193548383
2017-05,,51.181428949736215,53.5,6.5,5.054293,10.7,-7.1487116570906615,1.5,5.5,,2.45,3.5392000000000006
2017-06,7.0,51.525046393462,53.8,7.6,6.513623,11.0,0.2225968722768954,1.5,5.5,,2.45,3.249845161290322
