month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)_去季节性
2009-05,,53.15565880775029,,8.9,,15.2,1.1108127772960117,-1.4,-7.2,3.7561,1.526363647507145
2009-06,8.2,53.25541886905355,,10.7,,15.0,-7.730034528141324,-1.7,-7.8,3.7561,1.324537996953873
2009-07,,53.16325236741876,,10.8,6.0,15.2,26.58486715458237,-1.8,-8.2,3.7561,1.4581842345874871
2009-08,,53.76083539818919,,12.3,8.22,15.4,11.017445111873066,-1.2,-7.86,3.7561,2.4878968839075855
2009-09,10.6,53.71164044336196,,13.9,10.24,15.522151,3.207523899418536,-0.8,-6.99,3.7561,2.018689384685249
2009-10,,54.95657452934135,,16.1,15.87,16.214903,14.753497739738844,-0.5,-5.85,3.7561,2.189500780894393
2009-11,,54.867663063712364,,19.2,27.63,15.812804,10.384273671446474,0.6,-2.08,3.7561,2.022220188068553
2009-12,11.9,56.47588124006133,,18.5,,17.5374,9.792343813106,1.9,1.7,3.7561,1.8218582621580315
2010-01,,55.8,,29.2,,14.0,,1.5,4.32,3.7561,1.4445096774193549
2010-02,,52.27980021116614,,12.8,10.54,22.1,26.64748890352955,2.7,5.39,3.7561,2.5189918077031157
2010-03,12.2,53.77895818192689,,18.1,21.036924,18.0,-17.87422151269183,2.4,5.91,3.7561,2.5120705743373826
2010-04,,55.421566860321214,,17.8,23.08,18.5,2.660225497968412,2.8,6.81,3.7561,2.2460882519432555
2010-05,,53.95565880775029,,16.5,20.8,18.65733,-12.144498951386538,3.1,7.13,3.7561,2.258396980840479
2010-06,10.7,52.15541886905355,,13.7,14.14,18.3,-18.120000844202714,2.9,6.41,3.7561,2.7700412227603244
2010-07,,51.06325236741876,,13.4,13.94,17.948076,18.987316867430337,3.3,4.84,3.7561,2.6771509012541537
2010-08,,51.46083539818919,,13.9,14.69,18.4,1.2890367487479466,3.5,4.32,3.7561,2.5558194645527466
2010-09,9.9,53.21164044336196,,13.3,8.58,18.84,-8.667673317888276,3.6,4.33,3.7561,2.756463578233637
2010-10,,54.45657452934135,,13.1,8.37,18.64,6.795557879252595,4.4,5.04,3.7561,2.8826141142277266
2010-11,,54.867663063712364,,13.3,3.925325,18.7,15.232624343667682,5.1,6.06,3.7561,2.4364363171008105
2010-12,9.9,53.775881240061324,,13.5,,19.1,6.140245742765588,4.6,5.93,3.7561,3.2322582621580316
2011-01,,52.9,,13.3,,19.899985,,4.9,6.6,3.7561,3.980861290322581
