month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)
2009-02,,49.121670844190184,,11.0,,11.6,26.529036643193386,-1.6,-4.47,3.7561,0.9331612903225807
2009-03,6.4,50.74846711284239,,8.3,,14.7,2.274973434237104,-1.2,-6.0,3.7561,0.9584000000000001
2009-04,,53.25795092625417,,7.3,,14.8,11.747911612232748,-1.5,-6.6,3.7561,0.9508387096774192
2009-05,,53.940688512047835,,8.9,,15.2,9.482488695396214,-1.4,-7.2,3.7561,0.9508361559139784
2009-06,8.2,53.6005996911788,,10.7,,15.0,0.5952319647668318,-1.7,-7.8,3.7561,0.9534096774193548
2009-07,,53.76798014946238,,10.8,6.0,15.2,21.564694074964436,-1.701,-7.8634,3.7561,1.2501933333333333
2009-08,,53.9853606077459,,12.3,8.22,15.4,19.77026559768632,-1.2,-7.86,3.7561,1.657635483870968
2009-09,10.6,53.67730182424168,,13.9,10.24,15.522151,10.862372798614988,-0.8,-6.99,3.7561,1.478058064516129
2009-10,,55.68759003591056,,16.1,15.87,16.214903,16.284267412057588,-0.5,-5.85,3.7561,1.671453333333333
2009-11,,55.63979802027234,,18.507000000000005,23.990000000000013,15.812804,12.824485203644244,0.6,-2.08,3.7561,1.4326838709677425
2009-12,11.9,56.664984100539336,,18.5,,17.5374,7.089337694067634,1.9,1.7,3.7561,1.4615033333333336
2010-01,,55.8,,29.2,,14.0,,1.5,4.32,3.7561,1.4445096774193549
2010-02,,52.121670844190184,,12.8,10.54,22.1,26.64748890352955,2.7,5.39,3.7561,1.9535419354838717
2010-03,12.2,53.448467112842394,,18.1,21.036924,18.0,-1.751359804186304,2.4,5.91,3.7561,1.6712321428571428
2010-04,,55.45795092625417,,17.8,23.08,18.5,3.159997341493998,2.8,6.81,3.7561,1.6230612903225807
2010-05,,54.74068851204783,,16.5,20.8,18.65733,-3.772823033286336,3.1,7.13,3.7561,1.6826166666666673
2010-06,10.7,52.5005996911788,,13.7,14.14,18.3,-9.794734351294558,2.9,6.41,3.7561,2.3989129032258063
2010-07,,51.66798014946239,,13.4,13.94,17.948076,13.967143787812406,3.3,4.84,3.7561,2.4691599999999996
2010-08,,51.685360607745906,,13.9,14.69,18.4,10.0418572345612,3.5,4.32,3.7561,1.725558064516129
2010-09,9.9,53.17730182424168,,13.3,8.58,18.84,-1.0128244186918245,3.6,4.33,3.7561,2.2158322580645167
2010-10,,55.18759003591056,,13.1,8.37,18.64,8.32632755157134,4.4,5.04,3.7561,2.3645666666666667
2010-11,,55.63979802027234,,13.3,3.925325,18.7,17.672835875865452,5.1,6.06,3.7561,1.8469
2010-12,9.9,53.96498410053933,,13.5,,19.1,3.4372396237272227,4.6,5.93,3.7561,2.871903333333334
2011-01,,52.9,,13.3,,19.899985,,4.9,6.6,3.7561,3.980861290322581
2011-02,,52.32167084419019,,14.9,15.82,11.633507,34.04118478288431,4.944,7.23,3.7561,4.8585
2011-03,10.1,51.74846711284239,,14.8,13.41,17.437599,3.205118616551328,5.383,7.31,3.7561,2.840307142857143
2011-04,,52.657950926254166,,13.4,11.23,17.121601,14.9678016269458,5.344,6.82,3.7561,2.416596774193549
2011-05,,52.840688512047834,,13.3,10.79,16.89981,4.393487077472251,5.515,6.79,3.7561,3.330486666666667
2011-06,9.9,51.300599691178796,,15.1,13.0,17.686683,-22.85281126306831,6.355,7.12,3.7561,4.534093548387098
2011-07,,51.16798014946239,,14.0,11.81,17.2,19.276963002389188,6.451,7.54,3.7561,5.390073300000004
