month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,社零,固投累计同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)
2002-11,,,,14.5,9.1,22.339955300897213,-0.7,-0.4,1.97,2.2333612903225806
2002-12,9.2,,,14.9,9.2,16.827080362750777,-0.4,0.4,1.97,2.2537100000000003
2003-01,,,,14.8,10.0,,0.4,2.4,2.3,2.3061225806451615
2003-02,,,,19.8,8.5,32.8,0.2,4.0,2.3,2.2762161290322585
2003-03,11.2,,,16.9,9.3,29.71795300284124,0.9,4.6,2.3,2.1226107142857145
2003-04,,,,14.9,7.7,29.39904022754681,1.0,3.6,2.3,1.9732677419354843
2003-05,,,,13.7,4.3,30.233381505685568,0.7,2.0,2.3,1.9816466666666668
2003-06,9.2,,,16.9,8.3,31.28708764896513,0.3,1.3,2.3,2.106977419354839
2003-07,,,,16.5,9.8,31.670823918394053,0.5,1.4,2.3,2.2300333333333335
2003-08,,,,17.1,9.9,31.398031767018832,0.9,1.4,2.3,2.117774193548387
2003-09,10.1,,,16.3,9.5,30.34639226426951,1.1,1.4,2.9337,2.6812258064516126
2003-10,,,,17.2,10.2,29.13331732612307,1.8,1.2,2.6,3.111800000000001
2003-11,,,,17.9,9.7,28.539955300897216,3.0,1.9,3.7561,2.9776774193548383
2003-12,10.1,,,18.1,10.9,27.827080362750777,3.2,3.0,3.7561,2.1673
2004-01,,,,7.2,11.8,,3.2,3.5,3.7561,2.2533870967741936
2004-02,,,,23.2,9.2,53.0,2.1,3.5,3.7561,2.5634838709677426
2004-03,10.6,,,19.4,11.1,45.91795300284124,3.0,4.0,3.7561,1.9849655172413794
2004-04,,,,19.1,13.2,41.6990402275468,3.8,5.0,3.7561,1.907696774193548
2004-05,,,,17.5,17.8,33.333381505685566,4.4,5.7,3.7561,2.2867133333333336
2004-06,11.6,,,16.2,13.9,29.487087648965133,5.0,6.4,3.7561,2.304367741935484
2004-07,,,,15.5,13.2,30.07082391839405,5.3,6.4,3.7561,2.3558700000000004
2004-08,,,,15.9,13.1,29.298031767018834,5.3,6.8,3.7561,2.336158064516129
2004-09,9.8,,,16.1,14.0,28.84639226426951,5.2,7.9,3.7561,2.162512903225806
2004-10,,,,15.7,14.2,28.433317326123074,4.3,8.4,3.7561,2.1762566666666667
2004-11,,,,14.8,13.9,27.839955300897213,2.8,8.1,3.7561,2.1025870967741933
2004-12,8.8,,,14.4,14.5,27.02708036275078,2.4,7.1,3.7561,1.8898
2005-01,,54.7,,20.9,11.5,,1.9,5.8,3.7561,1.846035483870968
2005-02,,54.72158406468498,,7.6,15.8,24.5,3.9,5.38,3.7561,1.9896225806451613
2005-03,11.2,55.707443899451725,,15.1,13.9,23.41795300284124,2.7,5.6,3.7561,1.8469464285714283
2005-04,,55.638339170965835,,16.0,12.2,24.59904022754681,1.8,5.78,3.7561,1.4059064516129032
2005-05,,54.06024048683549,,16.6,12.8,24.933381505685567,1.8,5.9,3.7561,1.1971500000000002
2005-06,11.1,52.14678668479465,,16.8,12.9,25.587087648965134,1.6,5.2,3.7561,1.1085709677419353
2005-07,,51.68063703474447,,16.1,12.7,26.17082391839405,1.8,5.2,3.7561,1.13699
2005-08,,52.438114850516705,,16.0,12.5,26.398031767018832,1.3,5.3,3.7561,1.2405225806451616
2005-09,10.9,53.83961163592276,,16.5,12.7,26.64639226426951,0.9,4.5,3.7561,1.2155258064516132
2005-10,,54.878852732737926,,16.1,12.8,26.533317326123075,1.2,4.0,3.7561,1.1436166666666665
2005-11,,54.20221120040341,,16.6,12.4,26.739955300897215,1.3,3.2,3.7561,1.116583870967742
2005-12,12.4,54.21282393360136,,16.5,12.5,26.627080362750778,1.6,3.2,3.7561,1.4822966666666664
2006-01,,52.1,,12.6,15.5,,1.9,3.05,3.7561,1.493067741935484
2006-02,,52.321584064684984,,20.1,9.4,26.6,0.9,3.01,3.7561,1.7082580645161294
2006-03,12.4,53.107443899451724,,17.8,13.5,27.91795300284124,0.8,2.49,3.7561,1.3861428571428571
2006-04,,57.038339170965834,,16.6,13.554756,28.49904022754681,1.2,1.87,3.7561,1.5805645161290323
2006-05,,55.96024048683549,,17.9,14.2,28.83338150568557,1.4,2.43,3.7561,1.7795066666666666
2006-06,13.6,54.54678668479465,,19.5,13.9,29.787087648965134,1.5,3.52,3.7561,1.7819806451612903
2006-07,,52.98063703474447,,16.7,13.7,29.47082391839405,1.0,3.58,3.7561,2.07187
2006-08,,52.938114850516705,,15.7,13.8,28.098031767018835,1.3,3.4,3.7561,2.593903225806452
2006-09,12.2,55.739611635922756,,16.1,13.9,27.14639226426951,1.5,3.5,3.7561,2.1855322580645162
2006-10,,55.47885273273793,,14.7,14.348977,25.73331732612307,1.4,2.9,3.7561,2.2781766666666665
2006-11,,55.40221120040341,,14.9,14.1,25.539955300897216,1.9,2.78,3.7561,2.8131612903225807
