month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)_去季节性
2010-03,12.2,54.52881375353127,,18.1,21.036924,18.0,-2.0686932215205687,2.4,5.91,,3.7561,1.7644847778025623
2010-04,,56.21713477487997,,17.8,23.08,18.5,15.149718999208698,2.8,6.81,,3.7561,1.7371421041480994
2010-05,,54.07507977892669,,16.5,20.8,18.65733,-3.903564234966076,3.1,7.13,,3.7561,1.8317423060075397
2010-06,10.7,52.11940693779223,,13.7,14.14,18.3,-9.835672299246987,2.9,6.41,,3.7561,2.570151745660459
2010-07,,51.35259353241613,,13.4,13.94,17.948076,42.31785191347569,3.3,4.84,,3.7561,2.556144400218281
2010-08,,51.68365425670442,,13.9,14.69,18.4,-3.191938649699825,3.5,4.32,,3.7561,1.9432931276667817
2010-09,9.9,53.59510151459006,,13.3,8.58,18.84,-8.753850230818035,3.6,4.33,,3.7561,2.2890329743648627
2010-10,,55.01430228590767,,13.1,8.37,18.64,22.407680338694064,4.4,5.04,,3.7561,2.4292418184941127
2010-11,,55.051569463757325,,13.3,3.925325,18.7,22.50143380385195,5.1,6.06,,3.7561,1.9289413397697008
2010-12,9.9,53.98201741791143,,13.5,,19.1,2.1954479513214054,4.6,5.93,,3.7561,2.965326652029677
2011-01,,52.9,,13.3,,19.899985,,4.9,6.6,,3.7561,3.980861290322581
2011-02,,52.10725356047783,,14.9,15.82,11.633507,5.787106184896441,4.944,7.23,,3.7561,5.175167563503916
2011-03,10.1,52.828813753531264,,14.8,13.41,17.437599,2.8877851992170633,5.383,7.31,,3.7561,2.9335597778025626
2011-04,,53.41713477487997,,13.4,11.23,17.121601,26.9575232846605,5.344,6.82,,3.7561,2.530677588019068
2011-05,,52.175079778926694,,13.3,10.79,16.89981,4.262745875792511,5.515,6.79,,3.7561,3.4796123060075392
2011-06,9.9,50.919406937792225,,15.1,13.0,17.686683,-22.89374921102074,6.355,7.12,,3.7561,4.70533239082175
2011-07,,50.85259353241613,,14.0,11.81,17.2,47.62767112805247,6.451,7.54,,3.7561,6.323504400218282
2011-08,,50.88365425670442,,13.5,9.09,17.0,6.282111237181876,6.151,7.25,,3.7561,4.386899579279685
2011-09,9.3,50.99510151459007,,13.8,12.17,17.7,-4.613549103435577,6.067,6.52,,3.7561,4.195526522751958
2011-10,,50.714302285907664,,13.2,11.35,17.249736,32.862779617633926,5.495,5.0,,3.7561,4.313831818494112
2011-11,,48.85156946375732,,12.4,9.91,17.3,14.763600416059578,4.225,2.72,,3.7561,3.8766445655761532
2011-12,8.7,50.38201741791143,,12.8,,18.1,-12.501145777477586,4.07,1.69,,3.7561,3.752646652029677
2012-01,,50.5,,2.8,,13.1,,4.5,0.73,,3.7561,4.887661290322579
2012-02,,50.90725356047783,56.0,21.3,22.9,16.4,-6.787494939044127,3.2,0.03,,3.7561,4.399170789310366
2012-03,8.1,52.52881375353127,57.4,11.9,7.01,15.2,-7.212007273023762,3.6,-0.32,,3.7561,3.651359531497144
2012-04,,53.81713477487997,55.0,9.3,3.74,14.078876,9.02787523894262,3.4,-0.7,,3.7561,3.696464684793261
2012-05,,50.57507977892669,54.3,9.6,5.21,13.793596,-8.276387797540906,3.0,-1.4,,3.3,3.6774923060075397
2012-06,7.7,50.21940693779223,56.4,9.5,4.253966,13.7,-12.91811080970415,2.2,-2.08,,3.3,2.715777552112072
2012-07,,50.25259353241613,54.4,9.2,4.514594,13.1,40.61001348570766,1.8,-2.87,,3.35,3.865404400218281
2012-08,,49.18365425670442,55.1,8.9,3.58,13.2,-7.745206258181476,2.0,-3.48,,3.35,3.634186676053879
2012-09,7.5,49.59510151459006,52.6,9.2,2.92,14.2,-8.852171456499516,1.9,-3.55,,3.35,3.4802458775906686
2012-10,,50.51430228590767,54.4,9.6,6.05,14.5,21.124559787358407,1.7,-2.76,,3.35,3.485651818494113
2012-11,,50.45156946375732,54.2,10.1,7.58,14.9,13.357615244500916,2.0,-2.2,,3.35,3.3217252107374424
2012-12,8.1,50.68201741791143,54.7,10.3,,15.2,0.5935226533381872,2.5,-1.94,,3.35,3.1520333186963434
2013-01,,50.4,54.9,17.7,,,,2.0305,-1.64,,3.35,3.473622580645161
2013-02,,50.00725356047783,53.6,2.2,-12.49,12.2999,,3.2198,-1.63,,3.35,3.5298772409232697
2013-03,7.9,50.328813753531264,53.9,8.9,1.94,12.60029,24.633094400467773,2.0696,-1.92,,3.35,3.4114240635168476
2013-04,,51.11713477487997,52.5,9.3,6.78,12.8,14.336772690978307,2.3861,-2.62,,3.35,3.2509808138255183
2013-05,,50.97507977892669,52.3,9.2,5.022142,12.892196,14.559044253287524,2.0981,-2.87,,3.35,3.4331956393408722
2013-06,7.6,50.11940693779223,52.6,8.9,6.295814,13.31247,15.62456665085196,2.6684,-2.7,,3.35,5.547577552112071
2013-07,,50.452593532416124,53.0,9.7,8.832639,13.212343,16.66581503458407,2.6741,-2.27,,3.35,5.468507733551615
2013-08,,50.98365425670442,52.5,10.4,13.67,13.370123,-5.521529796045705,2.5666,-1.62,,3.9,4.342270547021621
2013-09,7.9,50.89510151459007,53.9,10.2,10.4,13.3,6.65562077129098,3.0519,-1.34,,3.9,3.8926136195261525
2013-10,,51.714302285907664,54.8,10.3,9.53,13.320159,7.665503548044757,3.2058,-1.51,,3.9,4.115351818494113
2013-11,,51.25156946375732,54.1,10.0,8.45,13.721251,4.6389521753893375,3.018,-1.42,,4.1,4.58766069460841
2013-12,7.7,51.08201741791143,52.5,9.7,,13.6,16.039097152446086,2.4987,-1.36,,4.1,4.858866652029676
2014-01,,50.5,51.5,8.5,,,,2.4861,-1.64,,4.1,5.225654838709678
2014-02,,50.10725356047783,53.8,8.8,13.736301,11.8246,-49.79839206537251,1.9511,-2.0,,4.1,5.264364337697463
2014-03,7.6,49.72881375353126,52.8,8.8,7.2,12.2404,19.79437368202785,2.3848,-2.3019,,4.1,3.067045492088277
2014-04,,50.91713477487997,53.4,8.7,4.61,11.93653,9.339450023049256,1.8014,-2.0042,,4.1,3.7215292009222933
