month,GDP同比,制造业PMI一阶差分_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2011-01,,-1.0,,13.3,,19.899985,,4.9,6.6,,3.7561,3.980861290322581
2011-02,,-0.4260022470110542,,14.9,15.82,11.633507,11.864652254527382,4.944,7.23,,3.7561,4.8585
2011-03,10.1,0.993661939598087,,14.8,13.41,17.437599,-3.0187182764133205,5.383,7.31,,3.7561,2.840307142857143
2011-04,,0.3916412287296308,,13.4,11.23,17.121601,26.423115570336584,5.344,6.82,,3.7561,2.416596774193549
2011-05,,-0.5181320755493593,,13.3,10.79,16.89981,2.535326160597556,5.515,6.79,,3.7561,3.330486666666667
2011-06,9.9,-0.8537265440768496,,15.1,13.0,17.686683,-23.15160857288319,6.355,7.12,,3.7561,4.534093548387098
2011-07,,0.2094445990047086,,14.0,11.81,17.2,46.24558726220859,6.451,7.54,,3.7561,6.2365200000000005
2011-08,,0.3431698870605632,,13.5,9.09,17.0,5.730933918140359,6.151,7.25,,3.7561,4.169164516129032
2011-09,9.3,0.2927322765127255,,13.8,12.17,17.7,-4.864474322364167,6.067,6.52,,3.7561,4.122325806451612
2011-10,,-0.22607356591334582,,13.2,11.35,17.249736,30.5734894237279,5.495,5.0,,3.7561,4.249156666666666
2011-11,,-1.3996916980863006,,12.4,9.91,17.3,13.677857375359025,4.225,2.72,,3.7561,3.794603225806452
2011-12,8.7,1.8258959666960064,,12.8,,18.1,-14.016983713175872,4.07,1.69,,3.7561,3.6592233333333337
2012-01,,0.2000000000000028,,2.8,,13.1,,4.5,0.73,,3.7561,4.887661290322579
2012-02,,0.7739977529889415,56.0,21.3,22.9,16.4,-0.7099488694131857,3.2,0.03,,3.7561,4.082503225806451
2012-03,8.1,1.893661939598093,57.4,11.9,7.01,15.2,-13.118510748654145,3.6,-0.32,,3.7561,3.5581068965517244
2012-04,,1.0916412287296264,55.0,9.3,3.74,14.078876,8.493467524618707,3.4,-0.7,,3.7561,3.582383870967742
2012-05,,-2.5181320755493593,54.3,9.6,5.21,13.793596,-10.003807512735861,3.0,-1.4,,3.3,3.5283666666666673
2012-06,7.7,0.04627345592315621,56.4,9.5,4.253966,13.7,-13.1759701715666,2.2,-2.08,,3.3,2.5445387096774197
2012-07,,0.3094445990047029,54.4,9.2,4.514594,13.1,39.22792961986377,1.8,-2.87,,3.35,3.7784199999999997
2012-08,,-0.756830112939431,55.1,8.9,3.58,13.2,-8.296383577222993,2.0,-3.48,,3.35,3.416451612903226
2012-09,7.5,0.5927322765127157,52.6,9.2,2.92,14.2,-9.103096675428105,1.9,-3.55,,3.35,3.4070451612903225
2012-10,,0.9739264340866641,54.4,9.6,6.05,14.5,18.835269593452384,1.7,-2.76,,3.35,3.4209766666666668
2012-11,,0.40030830191369654,54.2,10.1,7.58,14.9,12.271872203800363,2.0,-2.2,,3.35,3.2396838709677414
2012-12,8.1,0.5258959666960091,54.7,10.3,,15.2,-0.9223152823600991,2.5,-1.94,,3.35,3.0586100000000003
2013-01,,-0.2000000000000028,54.9,17.7,,,,2.0305,-1.64,,3.35,3.473622580645161
2013-02,,-0.02600224701105558,53.6,2.2,-12.49,12.2999,,3.2198,-1.63,,3.35,3.2132096774193544
2013-03,7.9,0.5936619395980887,53.9,8.9,1.94,12.60029,18.72659092483739,2.0696,-1.92,,3.35,3.318171428571428
2013-04,,0.5916412287296338,52.5,9.3,6.78,12.8,13.802364976654394,2.3861,-2.62,,3.35,3.1368999999999994
2013-05,,0.5818679244506351,52.3,9.2,5.022142,12.892196,12.83162453809257,2.0981,-2.87,,3.35,3.28407
2013-06,7.6,-0.4537265440768438,52.6,8.9,6.295814,13.31247,15.36670728898951,2.6684,-2.7,,3.35,5.376338709677419
2013-07,,0.6094445990047,53.0,9.7,8.832639,13.212343,15.283731168740186,2.6741,-2.27,,3.35,5.381523333333333
2013-08,,0.8431698870605704,52.5,10.4,13.67,13.370123,-6.072707115087223,2.5666,-1.62,,3.9,4.124535483870968
2013-09,7.9,0.09273227651272269,53.9,10.2,10.4,13.3,6.404695552362391,3.0519,-1.34,,3.9,3.8194129032258064
2013-10,,0.8739264340866555,54.8,10.3,9.53,13.320159,5.3762133541387325,3.2058,-1.51,,3.9,4.050676666666667
