month,month_end_date,中债-新综合财富(3-5年)指数__natural_month_return,中债-新综合净价(3-5年)指数__natural_month_return,中债-新综合全价(3-5年)指数__natural_month_return,中债-综合财富(3-5年)指数__natural_month_return,中债-综合净价(3-5年)指数__natural_month_return,中债-综合全价(3-5年)指数__natural_month_return,中债-新综合财富(5-7年)指数__natural_month_return,中债-新综合净价(5-7年)指数__natural_month_return,中债-新综合全价(5-7年)指数__natural_month_return,中债-综合财富(5-7年)指数__natural_month_return,中债-综合净价(5-7年)指数__natural_month_return,中债-综合全价(5-7年)指数__natural_month_return,roll20_start_date,roll20_end_date,中债-新综合财富(3-5年)指数__roll20_return,中债-新综合净价(3-5年)指数__roll20_return,中债-新综合全价(3-5年)指数__roll20_return,中债-综合财富(3-5年)指数__roll20_return,中债-综合净价(3-5年)指数__roll20_return,中债-综合全价(3-5年)指数__roll20_return,中债-新综合财富(5-7年)指数__roll20_return,中债-新综合净价(5-7年)指数__roll20_return,中债-新综合全价(5-7年)指数__roll20_return,中债-综合财富(5-7年)指数__roll20_return,中债-综合净价(5-7年)指数__roll20_return,中债-综合全价(5-7年)指数__roll20_return
2013-02,2013-02-28,0.0024750317395263455,0.001982933538644094,0.0029262393291800137,0.0005706930885425177,0.005692694229754824,0.0051965873720905,0.006839038858659663,0.006846370871150809,0.0034473902951601687,0.0034479580872608384,0.004376035596596717,0.004376009920709523,2013-02-20,2013-03-19,-0.0015273748731348125,-0.0015336840610834512,-0.0019404765341077823,-0.0037249771726474146,0.0016513007679486158,0.0016337589870156766,0.0029974946906254907,0.0029997848786220693,-0.00032938816880712096,-0.00032944226499864726,-0.001743293740824714,-0.0017434752962457445
2013-03,2013-03-29,-0.00026888249834822187,-0.0002611331779207582,-0.001242189720484066,-0.0008000082147868737,0.0031173122377115003,0.00312261964789573,0.003275255747075212,0.003282601813856978,-0.00029891307002294365,-0.0002989621324402947,-0.0016237843629195448,-0.001623798753715766,2013-03-20,2013-04-19,0.00405284509725834,0.003917020460447729,0.0039691353761672765,0.004185746593649009,0.007489721957538942,0.007357323372676694,0.008920399843105553,0.00892989694394819,0.005312690035724321,0.005312584949533905,0.006694550567119206,0.0066953951351542695
2013-04,2013-04-26,0.002824525479719453,0.0030113217290530514,0.0035324677263448567,0.003964939619687025,0.006054959476652799,0.006231814405163405,0.008560249720646285,0.008567969351081839,0.005202251703385619,0.0052021285432966025,0.006139941274163174,0.006140372244842984,2013-04-22,2013-05-17,0.00381837172008459,0.003735627876298331,0.003932154276764743,0.004123430761501901,0.006672808239907013,0.0065919319226435125,0.00831869198090951,0.008297037343218516,0.005324840615358317,0.005324737856810202,0.006017014008274035,0.0060184265340599286
2013-05,2013-05-31,0.0024925398282940048,0.0021102771996273084,0.0030058815982028086,0.0029759190639349065,0.0065436276140156124,0.0061606689713264995,0.008258164039009586,0.008219564588404449,0.004006893957289037,0.004007552320822061,0.006134765547511023,0.006134558010123747,2013-05-20,2013-06-19,-0.007250457693226187,-0.00756798639176659,-0.006514836257109136,-0.006554394043485567,-0.003611267471637203,-0.003946929045866798,-0.0017154041209999082,-0.0017329176409458524,-0.0054766869970129806,-0.005476614815949743,-0.004588888347770603,-0.004588564015012064
2013-06,2013-06-28,-0.00822183744690419,-0.007997188239593056,-0.007526017551128916,-0.007048460602101958,-0.004787601701085831,-0.004589239616275886,-0.0021912280860983957,-0.002191505019148998,-0.005700736506497939,-0.005701669442615409,-0.004826350424403381,-0.004826451359735806,2013-06-20,2013-07-19,0.0025542436169139204,0.0027238152414392758,0.0023273804656076535,0.0028483594409425272,0.005936564068368844,0.006094797564220045,0.0059692843414123065,0.005983199354385738,0.002469940548648797,0.002470347969523168,0.003281616811989574,0.0032818775453544724
2013-07,2013-07-31,-0.008564758640468684,-0.009014163106067175,-0.008622622054186513,-0.008668254491804084,-0.0044965071715479255,-0.004979839873076375,-0.006794080307497508,-0.006807093400333031,-0.011058842546114223,-0.011058714910127776,-0.010298477067551048,-0.01029862669477688,2013-07-22,2013-08-19,-0.010079111593550794,-0.01038333171709338,-0.008910186708869672,-0.008986239028128451,-0.006560846701529455,-0.006885370069506069,-0.01170116835382451,-0.0117139124976674,-0.015460506940490393,-0.01546107827937937,-0.013683160629941682,-0.013682863850865257
2013-08,2013-08-30,-0.008937123553002246,-0.009077926550124515,-0.008544995477841488,-0.010460436401338313,-0.00518185764004464,-0.005352723122897252,-0.009601112596055339,-0.00960897360473778,-0.013572219093268667,-0.013572481601517472,-0.01241023320512491,-0.01241008630774787,2013-08-20,2013-09-18,-0.003229607423502312,-0.003071308983092935,-0.003192492368051858,-0.004817585995716911,0.0003271064684633451,0.00045319106938324083,9.072733521886533e-05,9.46311700515956e-05,-0.00357161778391768,-0.003571203621592467,-0.004494356571793201,-0.004493911121906113
2013-09,2013-09-30,-0.0024932413055480662,-0.0021045057273423318,-0.0023147752216425843,-0.0015907004034854122,0.0012854829427588754,0.0016560097202609203,0.00030515191545577025,0.0003161465758487747,-0.003601445369427636,-0.003601040278339296,-0.004827925604127148,-0.004827746315917758,2013-09-23,2013-10-18,-0.0021144851443600787,-0.001820175663349466,-0.0014745314695306933,-0.0009621093101256362,0.0009467808781042919,0.001220794239888301,-0.001182796196286029,-0.001182572408624738,-0.004360181218466819,-0.004359895771241629,-0.003571746631473527,-0.003572190079523252
2013-10,2013-10-31,-0.011054771507439054,-0.010705528321714786,-0.009915861377953306,-0.009328532640323961,-0.007060076816095107,-0.0067977508544022625,-0.009440316099050383,-0.009456986973467307,-0.01354221347769824,-0.013541432876975845,-0.012709564288170605,-0.012710171005053894,2013-10-21,2013-11-19,-0.023802756054587593,-0.02350727180462797,-0.023312045145081117,-0.02272538322386819,-0.019810869805020115,-0.019598748699908852,-0.02590817177657656,-0.02596479817678632,-0.03010540615330426,-0.03010531273776884,-0.02937577546741965,-0.029375245881190115
2013-11,2013-11-29,-0.01348332972964017,-0.012980061416387079,-0.01416611272670254,-0.013256882677647575,-0.0096692752485803,-0.009210806412063177,-0.013703159319141567,-0.013733075950564388,-0.01769889935350466,-0.017699762222292192,-0.017151761665836762,-0.01715118531143467,2013-11-20,2013-12-19,-0.0004843696034908529,-0.00018440793986840287,-0.00096871728132919,-0.00028597199629021297,0.003106101333909095,0.0033926395720431657,0.0017408014622732892,0.0017538769105944763,-0.002000288872886502,-0.0020006173333485533,-0.000993755916673611,-0.0009940131498830107
