train_window,forecast_year,calendar_year,month,information_date,target_quarter_end,months_before_quarter_end,latest_released_monthly_period,latest_released_gdp_quarter_end,predicted_gdp_raw,actual_gdp_raw,prediction_error_raw,prediction_abs_error_raw,prediction_squared_error_raw,model_loading_gdp_raw,macro_S_target_nowcast,real_S_target_nowcast,nominal_S_target_nowcast
2013-2022,2023,2023,2023-11,2023-11-19,2023-12,1,2023-11,2023-10,7.214273288852119,5.3,1.91427328885212,1.91427328885212,3.664442224412711,7.214273288852119,-33.5538850190009,2469.2411863700227,-12.632495960884963
2013-2022,2023,2023,2023-12,2023-12-19,2023-12,0,2023-12,2023-10,6.7225385460492335,5.3,1.4225385460492337,1.4225385460492337,2.023615914995868,6.7225385460492335,-34.27553148654278,1936.747394007034,-13.80091927788508
2014-2023,2024,2024,2024-01,2024-01-19,2024-03,2,2024-01,2024-01,4.777758933921067,5.3,-0.5222410660789327,0.5222410660789327,0.2727357310992602,4.777758933921067,-22.48922420292872,-3.662032843329541,-7.383377020495051
2014-2023,2024,2024,2024-02,2024-02-19,2024-03,1,2024-02,2024-01,5.148031485219442,5.3,-0.1519685147805578,0.1519685147805578,0.0230944294846086,5.148031485219442,-23.129667535293333,17.117540299169434,-11.54805869757667
2014-2023,2024,2024,2024-03,2024-03-19,2024-03,0,2024-03,2024-01,5.045844611208604,5.3,-0.2541553887913954,0.2541553887913954,0.0645949616517053,5.045844611208604,-24.31836559028647,14.974426640759887,-6.031658380922005
2014-2023,2024,2024,2024-04,2024-04-19,2024-06,2,2024-04,2024-04,5.15896615097089,4.7,0.4589661509708902,0.4589661509708902,0.210649927737034,5.15896615097089,-22.755339074297435,16.696832974675047,-5.499687651566762
2014-2023,2024,2024,2024-05,2024-05-19,2024-06,1,2024-05,2024-04,4.838086357171658,4.7,0.1380863571716579,0.1380863571716579,0.0190678420369386,4.838086357171658,-23.91385247125777,3.196307628687091,-5.273203317137928
2014-2023,2024,2024,2024-06,2024-06-19,2024-06,0,2024-06,2024-04,4.807269995079173,4.7,0.1072699950791724,0.1072699950791724,0.0115068518442856,4.807269995079173,-24.5612047818795,3.309857973034865,-5.068956808890848
2014-2023,2024,2024,2024-07,2024-07-19,2024-09,2,2024-07,2024-07,4.4451683550659,4.6,-0.1548316449340996,0.1548316449340996,0.023972838272999,4.4451683550659,-22.852427035905897,-19.858417530072217,-5.562086825785406
2014-2023,2024,2024,2024-08,2024-08-19,2024-09,1,2024-08,2024-07,4.346410667791627,4.6,-0.2535893322083726,0.2535893322083726,0.0643075494098883,4.346410667791627,-23.766981457479204,-22.545777194454917,-3.730598416059268
2014-2023,2024,2024,2024-09,2024-09-19,2024-09,0,2024-09,2024-07,4.2943997171921655,4.6,-0.3056002828078341,0.3056002828078341,0.0933915328522282,4.2943997171921655,-24.554612908395605,-23.15625282694661,-3.940016503360064
2014-2023,2024,2024,2024-10,2024-10-19,2024-12,2,2024-10,2024-10,4.53987094422958,5.4,-0.86012905577042,0.86012905577042,0.7398219925805143,4.53987094422958,-22.624934197447768,-15.57297776088346,-4.151965582280027
2014-2023,2024,2024,2024-11,2024-11-19,2024-12,1,2024-11,2024-10,4.944621701451991,5.4,-0.455378298548009,0.455378298548009,0.2073693947884796,4.944621701451991,-23.596069874270587,7.854471487914672,-5.043151522058193
2014-2023,2024,2024,2024-12,2024-12-19,2024-12,0,2024-12,2024-10,4.689894526722498,5.4,-0.7101054732775021,0.7101054732775021,0.5042497831786652,4.689894526722498,-24.45028362826104,-3.0349665297464554,-5.933662436881557
2015-2024,2025,2025,2025-01,2025-01-19,2025-03,2,2025-01,2025-01,4.980286412286775,5.4,-0.4197135877132254,0.4197135877132254,0.1761594957111073,4.980286412286775,-8.204349296854593,-1.2699694776998451,14.9484940823056
2015-2024,2025,2025,2025-02,2025-02-19,2025-03,1,2025-02,2025-01,4.660091393895507,5.4,-0.7399086061044935,0.7399086061044935,0.5474647453874945,4.660091393895507,-8.408538785578363,-13.306196208058696,16.514283389497187
2015-2024,2025,2025,2025-03,2025-03-19,2025-03,0,2025-03,2025-01,5.0425402549554486,5.4,-0.3574597450445518,0.3574597450445518,0.1277774693273159,5.0425402549554486,-8.028846722147444,0.5567154853895584,19.80584108800076
2015-2024,2025,2025,2025-04,2025-04-19,2025-06,2,2025-04,2025-04,5.457053660326285,5.2,0.2570536603262852,0.2570536603262852,0.0660765842871412,5.457053660326285,-8.990707532930555,20.77450860183889,11.015176750951907
2015-2024,2025,2025,2025-05,2025-05-19,2025-06,1,2025-05,2025-04,5.126304030473294,5.2,-0.0736959695267058,0.0736959695267058,0.0054310959244811,5.126304030473294,-12.690824498184776,21.533777835384853,0.2365947302457078
2015-2024,2025,2025,2025-06,2025-06-19,2025-06,0,2025-06,2025-04,5.322682264977596,5.2,0.1226822649775956,0.1226822649775956,0.0150509381400329,5.322682264977596,-14.48835839639498,36.18544523707239,-5.471132912779186
2015-2024,2025,2025,2025-07,2025-07-19,2025-09,2,2025-07,2025-07,4.779254866006481,4.8,-0.0207451339935191,0.0207451339935191,0.000430360584409,4.779254866006481,-14.752855279810507,15.44762989076102,-11.36040330423321
2015-2024,2025,2025,2025-08,2025-08-19,2025-09,1,2025-08,2025-07,4.6282405235466655,4.8,-0.1717594764533343,0.1717594764533343,0.0295013177515235,4.6282405235466655,-16.767843326649615,17.02528275225356,-16.435150349495014
2015-2024,2025,2025,2025-09,2025-09-19,2025-09,0,2025-09,2025-07,4.671335970707635,4.8,-0.1286640292923646,0.1286640292923646,0.0165544324337464,4.671335970707635,-17.63749570622909,22.037214678754637,-18.239868378787808
2015-2024,2025,2025,2025-10,2025-10-19,2025-12,2,2025-10,2025-10,4.651591281578889,4.5,0.1515912815788889,0.1515912815788889,0.0229799166507299,4.651591281578889,-15.377270772713748,12.70175233337541,-12.70336638999876
2015-2024,2025,2025,2025-11,2025-11-19,2025-12,1,2025-11,2025-10,4.622567255993165,4.5,0.1225672559931654,0.1225672559931654,0.0150227322416941,4.622567255993165,-17.082277942381513,17.987184901982396,-16.923206084945996
2015-2024,2025,2025,2025-12,2025-12-19,2025-12,0,2025-12,2025-10,4.325643477986,4.5,-0.1743565220140004,0.1743565220140004,0.0304001967688186,4.325643477986,-18.575773407651056,11.756555839355777,-21.77399920196516
