month,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:固投当月同比
2022-05-31,6.2,4.603595873326283
2022-06-30,6.1,5.619282706548567
2022-07-31,5.7,3.750562906096544
2022-08-31,5.8,6.566020730058586
2022-09-30,5.9,6.662214715009629
2022-10-31,5.8,4.273272772731063
2022-11-30,5.3,0.6734495120081174
2022-12-31,5.1,3.22996135935798
2023-02-28,5.5,5.543407600023631
2023-03-31,5.1,-0.7466410393834666
2023-04-30,4.7,-17.40631163708086
2023-05-31,4.0,-21.15032430370088
2023-06-30,3.8,-17.059236855772465
2023-07-31,3.4,-11.568351866396595
2023-08-31,3.2,-13.00376369095445
2023-09-30,3.1,-11.624866497256292
2023-10-31,2.9,-11.335344775910638
2023-11-30,2.9,-14.776469619627864
2023-12-31,3.0,-18.95191477109127
2024-02-29,4.2,-5.095470071112606
2024-03-31,4.5,-8.397728330695465
2024-04-30,4.2,7.858208955223889
2024-05-31,4.0,7.9161928725231645
2024-06-30,3.9,5.685292275958598
2024-07-31,3.6,-1.3205562697206965
2024-08-31,3.4,1.5312074664592723
2024-09-30,3.4,3.3338195153459926
2024-10-31,3.4,-0.2929643484923638
2024-11-30,3.3,2.927182707402487
2024-12-31,3.2,14.951920799583164
2025-02-28,4.1,3.4849646980156246
2025-03-31,4.2,2.764508588271175
2025-04-30,4.0,1.132406190179669
2025-05-31,3.7,0.7129245600268952
2025-06-30,2.8,-1.1814934216258566
2025-07-31,1.6,-6.264803410705822
2025-08-31,0.5,-9.316799923397324
2025-09-30,-0.5,-8.406428326578352
2025-10-31,-1.7,-15.516228189132985
2025-11-30,-2.6,-17.589224957176718
2025-12-31,-3.8,-15.213763263624193
2026-02-28,1.8,0.1938463292727066
2026-03-31,1.7,-1.1235288299871415
2026-04-30,,
