month,ic_signal_vs_lag1_actual,中债-新综合财富(3-5年)指数__next_1m,position,bond_ret_next_1m,strategy_ret,is_trade,signal_value,strategy_ret_abs,positive_rank,negative_rank,abs_rank,scheme_choice,scheme_label,signal_name,signal_col,signal_label,trade_side,trade_side_label,threshold,target_clean,duration_bucket,index_type,series_family,中债-新综合净价(3-5年)指数__next_1m,中债-新综合全价(3-5年)指数__next_1m,中债-综合财富(3-5年)指数__next_1m,中债-综合净价(3-5年)指数__next_1m,中债-综合全价(3-5年)指数__next_1m,中债-新综合财富(5-7年)指数__next_1m,中债-新综合净价(5-7年)指数__next_1m,中债-新综合全价(5-7年)指数__next_1m,中债-综合财富(5-7年)指数__next_1m,中债-综合净价(5-7年)指数__next_1m,中债-综合全价(5-7年)指数__next_1m,actual_signal_vs_lag1_actual
2021-02,,,-1.0,0.0039457833831486,-0.0039457833831486,True,12.399999999999999,0.0039457833831486,19.0,3.0,8.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,0.0039457833831486,,,,12.399999999999999
2021-03,,,-1.0,0.0016481635537757,-0.0016481635537757,True,12.399999999999999,0.0016481635537757,14.0,8.0,15.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,0.0016481635537757,,,,12.399999999999999
2022-07,,,-1.0,-0.0024216952578545,0.0024216952578545,True,3.2,0.0024216952578545,7.0,15.0,14.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,-0.0024216952578545,,,,3.2
2022-08,,,-1.0,-0.0011704142803022,0.0011704142803022,True,3.2,0.0011704142803022,8.0,14.0,17.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,-0.0011704142803022,,,,3.2
2022-09,,,-1.0,-0.0074428130030058,0.0074428130030058,True,3.2,0.0074428130030058,3.0,19.0,3.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,-0.0074428130030058,,,,3.2
2023-01,,,-1.0,0.0004692314980665,-0.0004692314980665,True,1.7000000000000002,0.0004692314980665,11.0,11.0,19.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,0.0004692314980665,,,,1.7000000000000002
2023-02,,,-1.0,0.0012639102245108,-0.0012639102245108,True,1.7000000000000002,0.0012639102245108,13.0,9.0,16.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,0.0012639102245108,,,,1.7000000000000002
2023-03,,,-1.0,0.005160709462501,-0.005160709462501,True,1.7000000000000002,0.005160709462501,21.0,1.0,6.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,0.005160709462501,,,,1.7000000000000002
2023-04,,,-1.0,0.0031669881110352,-0.0031669881110352,True,1.7999999999999998,0.0031669881110352,16.0,6.0,12.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,0.0031669881110352,,,,1.7999999999999998
2023-05,,,-1.0,0.0024655541024873,-0.0024655541024873,True,1.7999999999999998,0.0024655541024873,15.0,7.0,13.0,vs_lag1_actual,方案二：相较上一期真实GDP,actual_gdp_signal,actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,short_on_strong_growth,增长明显走强时做空债券,1.0,中债-新综合全价(5-7年)指数,5-7年,全价,新综合,,,,,,,,0.0024655541024873,,,,1.7999999999999998
