month,sample,information_date,release_calendar_mode,target_quarter_end,target_gdp_release_date,target_gdp_released_by_information_date,monthly_release_lag_days,gdp_release_lag_days,latest_released_monthly_period,latest_released_gdp_quarter_end,is_information_month_quarter_end,months_before_quarter_end,model_loading_gdp_std,model_loading_gdp_raw,actual_gdp_raw,actual_gdp_std,macro_S_target_nowcast,real_S_target_nowcast,nominal_S_target_nowcast,nowcast_gdp_std,nowcast_gdp_raw,nowcast_error_raw,abs_error_raw,squared_error_raw
2013-06,train_diagnostics,2013-06-19,monthly_19th_information_set,2013-06,2013-07-19,False,19,19,2013-06,2013-04,True,0,0.4881692129425883,7.6306361426497,7.6,0.4641823922461253,2.8150117261423553,-3.068421430865058,-1.610138913200747,0.4881692129425883,7.6306361426497,0.030636142649700382,0.030636142649700382,0.0009385732364527908
2013-07,train_diagnostics,2013-07-19,monthly_19th_information_set,2013-09,2013-10-19,False,19,19,2013-07,2013-07,False,2,0.5251785001125391,7.677904674626076,7.9,0.6990698678405508,2.5513790921022,-10.210210401679753,-0.10788604760156628,0.5251785001125391,7.677904674626076,-0.22209532537392462,0.22209532537392462,0.04932633355294945
2013-08,train_diagnostics,2013-08-19,monthly_19th_information_set,2013-09,2013-10-19,False,19,19,2013-08,2013-07,False,1,0.5642766724544535,7.727841146006216,7.9,0.6990698678405508,2.3408867063963124,-16.76994388434433,0.5928242053093888,0.5642766724544535,7.727841146006216,-0.1721588539937846,0.1721588539937846,0.029638671008453247
2013-09,train_diagnostics,2013-09-19,monthly_19th_information_set,2013-09,2013-10-19,False,19,19,2013-09,2013-07,True,0,0.5374733315999026,7.693607723232115,7.9,0.6990698678405508,3.2751055339198047,-0.832415043477468,0.03420229208903358,0.5374733315999026,7.693607723232115,-0.20639227676788519,0.20639227676788519,0.04259777190943132
2013-10,train_diagnostics,2013-10-19,monthly_19th_information_set,2013-12,2014-01-19,False,19,19,2013-10,2013-10,False,2,0.3493156830220582,7.453291399722302,7.7,0.5424782174442674,3.0520003784407796,12.833364563203773,1.8811301497470176,0.3493156830220582,7.453291399722302,-0.2467086002776986,0.2467086002776986,0.06086513345098126
2013-11,train_diagnostics,2013-11-19,monthly_19th_information_set,2013-12,2014-01-19,False,19,19,2013-11,2013-10,False,1,0.5932881067184647,7.76489476181599,7.7,0.5424782174442674,5.651853650959177,28.578283013653504,2.448354267900827,0.5932881067184647,7.76489476181599,0.06489476181598963,0.06489476181598963,0.004211330111154026
2013-12,train_diagnostics,2013-12-19,monthly_19th_information_set,2013-12,2014-01-19,False,19,19,2013-12,2013-10,True,0,0.6571638554151198,7.846477334750122,7.7,0.5424782174442674,6.069187270134578,28.88641152855321,1.8986950601648347,0.6571638554151198,7.846477334750122,0.1464773347501218,0.1464773347501218,0.021455609595499244
2014-01,train_diagnostics,2014-01-19,monthly_19th_information_set,2014-03,2014-04-19,False,19,19,2014-01,2014-01,False,2,0.5880511750084944,7.758206114373143,7.6,0.4641823922461253,4.15867150134617,7.422456750792996,-0.5755661075421259,0.5880511750084944,7.758206114373143,0.1582061143731437,0.1582061143731437,0.025029174625048223
2014-02,train_diagnostics,2014-02-19,monthly_19th_information_set,2014-03,2014-04-19,False,19,19,2014-02,2014-01,False,1,0.7522417681364629,7.9679115395506095,7.6,0.4641823922461253,4.139073067492069,-7.606151074264265,-0.933409507139675,0.7522417681364629,7.9679115395506095,0.36791153955060985,0.36791153955060985,0.13535890093449995
2014-03,train_diagnostics,2014-03-19,monthly_19th_information_set,2014-03,2014-04-19,False,19,19,2014-03,2014-01,True,0,0.5919352125135968,7.763166835452809,7.6,0.4641823922461253,3.129441908000941,-7.832920526323917,-2.16241502162522,0.5919352125135968,7.763166835452809,0.16316683545280952,0.16316683545280952,0.026623416191684218
2014-04,train_diagnostics,2014-04-19,monthly_19th_information_set,2014-06,2014-07-19,False,19,19,2014-04,2014-04,False,2,0.21388542645614048,7.280318886535056,7.7,0.5424782174442674,-0.46493127708264936,-25.941201037087794,-1.0077658762134463,0.21388542645614048,7.280318886535056,-0.41968111346494386,0.41968111346494386,0.17613223699917507
2014-05,train_diagnostics,2014-05-19,monthly_19th_information_set,2014-06,2014-07-19,False,19,19,2014-05,2014-04,False,1,0.32348213414692095,7.42029660234995,7.7,0.5424782174442674,0.8586821861338564,-16.613068833511676,-2.992272488161655,0.32348213414692095,7.42029660234995,-0.27970339765005026,0.27970339765005026,0.07823399065698214
2014-06,train_diagnostics,2014-06-19,monthly_19th_information_set,2014-06,2014-07-19,False,19,19,2014-06,2014-04,True,0,0.37589482849397815,7.487238478515655,7.7,0.5424782174442674,2.285440045146807,-0.6557925540298974,-1.719158027794038,0.37589482849397815,7.487238478515655,-0.21276152148434502,0.21276152148434502,0.0452674650243334
2014-07,train_diagnostics,2014-07-19,monthly_19th_information_set,2014-09,2014-10-19,False,19,19,2014-07,2014-07,False,2,0.3602402759314555,7.467244369605115,7.3,0.22929491665170046,3.2796911946525227,15.150007554002308,-0.6327554251488477,0.3602402759314555,7.467244369605115,0.16724436960511557,0.16724436960511557,0.027970679164612506
2014-08,train_diagnostics,2014-08-19,monthly_19th_information_set,2014-09,2014-10-19,False,19,19,2014-08,2014-07,False,1,0.47858595684896826,7.618396337948277,7.3,0.22929491665170046,4.647458482411795,24.331948798425437,-1.5984441800557216,0.47858595684896826,7.618396337948277,0.31839633794827726,0.31839633794827726,0.10137622801887358
2014-09,train_diagnostics,2014-09-19,monthly_19th_information_set,2014-09,2014-10-19,False,19,19,2014-09,2014-07,True,0,0.33481130625371036,7.434766303739671,7.3,0.22929491665170046,3.3045870301088307,17.794170136417634,-2.304518518095861,0.33481130625371036,7.434766303739671,0.13476630373967158,0.13476630373967158,0.018161956623653417
2014-10,train_diagnostics,2014-10-19,monthly_19th_information_set,2014-12,2015-01-19,False,19,19,2014-10,2014-10,False,2,0.052930831335859976,7.074746501656353,7.4,0.30759074184984253,0.3443797362104986,0.2344030057472679,-3.8223844692627647,0.052930831335859976,7.074746501656353,-0.32525349834364725,0.32525349834364725,0.10578983818478095
2014-11,train_diagnostics,2014-11-19,monthly_19th_information_set,2014-12,2015-01-19,False,19,19,2014-11,2014-10,False,1,0.1633990667107944,7.215837338997137,7.4,0.30759074184984253,1.0855953335278636,1.0492610364780255,-4.329729109509677,0.1633990667107944,7.215837338997137,-0.18416266100286371,0.18416266100286371,0.0339158857076557
2014-12,train_diagnostics,2014-12-19,monthly_19th_information_set,2014-12,2015-01-19,False,19,19,2014-12,2014-10,True,0,0.12766925884347607,7.1702029673344105,7.4,0.30759074184984253,0.11745189565821756,-9.763960360900619,-4.727972082170755,0.12766925884347607,7.1702029673344105,-0.22979703266558982,0.22979703266558982,0.052806676221910154
2015-01,train_diagnostics,2015-01-19,monthly_19th_information_set,2015-03,2015-04-19,False,19,19,2015-01,2015-01,False,2,0.27783385070892047,7.361994281220465,7.1,0.072703266255417,0.9240522001514921,-11.566959951986185,-4.154733812512883,0.27783385070892047,7.361994281220465,0.2619942812204652,0.2619942812204652,0.0686410033922282
