month,逆回购7天_月末_较上月变动,MLF1Y_月末_较上月变动,LPR1Y_月末_较上月变动,DR007_月均_较上月变动,资金利差_DR007减逆回购_较上月变动,资金利差_DR007减MLF_较上月变动
2020-04,0.0,-0.19999999999999973,-0.19999999999999973,-0.4672409090909089,0.0,-0.26724090909090914
2020-05,0.0,0.0,0.0,0.046732296650717764,-0.4205086124401911,0.046732296650717764
2020-06,0.0,0.0,0.0,0.4708869674185465,0.4708869674185465,0.4708869674185465
2020-07,0.0,0.0,0.0,0.14308923395445117,0.14308923395445117,0.14308923395445117
2020-08,0.0,0.0,0.0,0.13798695652173887,0.13798695652173887,0.13798695652173887
2020-09,0.0,0.0,0.0,0.024373913043478357,0.024373913043478357,0.024373913043478357
2020-10,0.0,0.0,0.0,0.1759378516624044,0.1759378516624044,0.1759378516624044
2020-11,0.0,0.0,0.0,0.051540616246498416,0.051540616246498416,0.051540616246498416
2020-12,0.0,0.0,0.0,-0.2758828157349895,-0.2758828157349895,-0.2758828157349895
2021-01,0.0,0.0,0.0,0.2798654347826086,0.2798654347826086,0.2798654347826086
2021-02,0.0,0.0,0.0,-0.19075852941176485,-0.19075852941176485,-0.19075852941176485
2021-03,0.0,0.0,0.0,-0.22981994884910506,-0.22981994884910506,-0.22981994884910506
2021-04,0.0,0.0,0.0,-0.06509288537549374,-0.06509288537549374,-0.06509288537549374
2021-05,0.0,0.0,0.0,0.04063636363636336,0.04063636363636336,0.04063636363636336
2021-06,0.0,0.0,0.0,0.25189047619047633,0.25189047619047633,0.25189047619047633
2021-07,0.0,0.0,0.0,-0.18109047619047614,-0.18109047619047614,-0.18109047619047614
2021-08,0.0,0.0,0.0,-0.021622727272727182,-0.021622727272727182,-0.021622727272727182
2021-09,0.0,0.0,0.0,0.14351796536796524,0.14351796536796524,0.14351796536796524
2021-10,0.0,0.0,0.0,-0.1118540616246495,-0.1118540616246495,-0.1118540616246495
2021-11,0.0,0.0,0.0,0.0306088235294113,0.0306088235294113,0.0306088235294113
2021-12,0.0,0.0,-0.050000000000000266,0.26544565217391325,0.26544565217391325,0.26544565217391325
2022-01,-0.10000000000000009,-0.10000000000000009,-0.09999999999999964,-0.2602289855072466,-0.1602289855072465,-0.1602289855072465
2022-02,0.0,0.0,0.0,-0.07461041666666635,-0.07461041666666635,-0.07461041666666635
2022-03,0.0,0.0,0.0,0.12314809782608682,0.12314809782608682,0.12314809782608682
2022-04,0.0,0.0,0.0,-0.3987948240165631,-0.3987948240165631,-0.3987948240165631
2022-05,0.0,0.0,0.0,-0.20839452380952395,-0.20839452380952395,-0.20839452380952395
2022-06,0.0,0.0,0.0,0.1296802380952382,0.1296802380952382,0.1296802380952382
2022-07,0.0,0.0,0.0,-0.20469523809523804,-0.20469523809523804,-0.20469523809523804
2022-08,-0.10000000000000009,-0.10000000000000009,-0.050000000000000266,-0.1061565217391307,-0.006156521739130616,-0.006156521739130616
2022-09,0.0,0.0,0.0,0.1586565217391307,0.1586565217391307,0.1586565217391307
2022-10,0.0,0.0,0.0,0.0894722222222224,0.0894722222222224,0.0894722222222224
2022-11,0.0,0.0,0.0,0.12730505050505037,0.12730505050505037,0.12730505050505037
2022-12,0.0,0.0,0.0,0.40251818181818155,0.40251818181818155,0.40251818181818155
2023-01,0.0,0.0,0.0,-0.21261212121212125,-0.21261212121212125,-0.21261212121212125
2023-02,0.0,0.0,0.0,0.2534616666666669,0.2534616666666669,0.2534616666666669
2023-03,0.0,0.0,0.0,0.12726804347826048,0.12726804347826048,0.12726804347826048
2023-04,0.0,0.0,0.0,-0.20697304347826062,-0.20697304347826062,-0.20697304347826062
